version,interestingApp,status,name,latestUpdate,storeName,releaseDate,providerCategory,healthEntityInvolved,EU,geographicCoverage,continents,appCategory,appFunctionalityCategory,appFunctionality,typesOfPersonalData ,clearPrivacyPolicy 
2.1.0,no,active,WHO Info,2020-05-08T11:17:43,GooglePlay (Android),"Apr 13, 2020",international organisation,health authority,yes,WORLD,WORLD,covid-19 specific,information provision; notifications,,,
1,no,active,COVID-19 CDMX,2020-05-10T22:38:31,GooglePlay (Android),,national government,na,no,MEX,North America,covid-19 specific,information provision,,,
1,no,active,COVID-19 Michoacán,2020-04-28T00:08:44,GooglePlay (Android),,local/regional government,na,no,MEX,North America,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
2.0.2,no,active,Province 5 COVID-19 Tracker,2020-04-02T08:22:28,GooglePlay (Android),"Apr 1, 2020",technology company,no,no,NPL,Asia,covid-19 specific,information exchange; lockdown management,,,
1,no,active,CISP - Covid19 Angola,2020-05-07T15:29:07,GooglePlay (Android),"Apr 28, 2020",national government,health facilities,no,AGO,Africa,covid-19 specific,information provision; information exchange,,,
1,no,active,Nye Health,2020-05-05T04:48:21,GooglePlay (Android),"Apr 17, 2019",health company,health facilities,no,USA,North America,health-generic,information exchange; expert support,,,
1,no,active,MDBox,2020-05-08T13:33:05,GooglePlay (Android),"Jan 30, 2019",health company,health facilities,no,USA,North America,covid-19 influenced,information provision; information exchange; expert support,,,
4.6.0,no,active,Grid by Pragyaam,2020-05-04T16:51:41,GooglePlay (Android),"Nov 24, 2018",technology company,no,no,IND,Asia,other,other,,,
1.0,yes,notactive,PrevenApp (Chihuahua),2020-05-02T22:17:56,GooglePlay (Android),"Mar 25, 2020",technology company,consortium,no,MEX,North America,covid-19 specific,contact tracing; notifications,proximity tracking; sending instructions,location as province/region; location as gps/cell tower data; other,yes
1,no,active,Provider to Provider,2020-05-14T13:36:05,GooglePlay (Android),"Mar 30, 2020",health company,no,no,USA,North America,health-generic, information exchange; expert support,,,
5.0.2,yes,active,Covid19 Jujuy,2020-05-04T14:30:10,GooglePlay (Android),"Apr 1, 2020",local/regional government,health authority,no,ARG,South America,covid-19 specific,information exchange,self-diagnosis with data sharing; symptoms monitoring with data sharing,location as province/region; other,no
2.0.1,yes,active,Hamro Swasthya,2020-05-10T03:40:38,GooglePlay (Android),"Mar 26, 2020",national government,health authority,no,NPL,Asia,covid-19 specific,information provision; contact tracing; notifications,news; statistics; proximity tracking; sending notifications,proximity; location as gps/cell tower data; positive status; other,no
1,yes,active,patientMpower for COVID-19,2020-04-30T17:17:22,GooglePlay (Android),"Mar 15, 2020",health company,health authority,yes,IRL,Europe,covid-19 specific,information exchange; expert support; notifications,telemedicine; help in self-isolation; symptoms monitoring with data sharing; manage self-isolation; communication with a doctor; sending instructions,location as gps/cell tower data; health status; positive status; other,yes
1,yes,active,Druk Trace,2020-05-05T20:43:39,GooglePlay (Android),"Apr 19, 2020",national government,na,no,BTN,Asia,covid-19 specific,contact tracing,occasional location sharing,location as gps/cell tower data; other,no
1,no,active,TCC COVID Monitor,2020-05-13T00:41:51,GooglePlay (Android),,local/regional government,health facilities,no,AUS,Oceania,covid-19 specific,information provision; information exchange,,,
1,no,active,BCBSOK,2020-04-29T12:57:44,GooglePlay (Android),"Dec 17, 2010",health company,health facilities,no,USA,North America,health-generic,information provision,,,
